technology_1,technology_2,region_1,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
battery,grid,EE,EE,capaStInResi,0.91,capaStOutResi,0.91,capaStSizeResi,2.72,,
battery,grid,ES,ES,capaStInResi,78.47,capaStOutResi,78.47,capaStSizeResi,235.41,,
battery,grid,FI,FI,capaStInResi,2.99,capaStOutResi,2.99,capaStSizeResi,8.96,,
battery,grid,FR,FR,capaStInResi,61.78,capaStOutResi,61.78,capaStSizeResi,185.35,,
battery,grid,GR,GR,capaStInResi,35.98,capaStOutResi,35.98,capaStSizeResi,107.95,,
battery,grid,HR,HR,capaStInResi,3.35,capaStOutResi,3.35,capaStSizeResi,10.06,,
battery,grid,HU,HU,capaStInResi,8.59,capaStOutResi,8.59,capaStSizeResi,25.77,,
battery,grid,IE,IE,capaStInResi,5.18,capaStOutResi,5.18,capaStSizeResi,15.53,,
battery,grid,IT,IT,capaStInResi,48.34,capaStOutResi,48.34,capaStSizeResi,145.01,,
battery,grid,LT,LT,capaStInResi,6.22,capaStOutResi,6.22,capaStSizeResi,18.66,,
battery,grid,LU,LU,capaStInResi,0.26,capaStOutResi,0.26,capaStSizeResi,0.77,,
battery,grid,LV,LV,capaStInResi,2.29,capaStOutResi,2.29,capaStSizeResi,6.87,,
battery,grid,NL,NL,capaStInResi,11.56,capaStOutResi,11.56,capaStSizeResi,34.69,,
battery,grid,NO,NO,capaStInResi,0.06,capaStOutResi,0.06,capaStSizeResi,0.18,,
battery,grid,NONEU_Balkan,NONEU_Balkan,capaStInResi,30.1,capaStOutResi,30.1,capaStSizeResi,90.29,,
battery,grid,PL,PL,capaStInResi,46.41,capaStOutResi,46.41,capaStSizeResi,139.24,,
battery,grid,PT,PT,capaStInResi,25.33,capaStOutResi,25.33,capaStSizeResi,75.99,,
battery,grid,RO,RO,capaStInResi,6.72,capaStOutResi,6.72,capaStSizeResi,20.16,,
battery,grid,SE,SE,capaStInResi,2.3,capaStOutResi,2.3,capaStSizeResi,6.91,,
battery,grid,SI,SI,capaStInResi,1.35,capaStOutResi,1.35,capaStSizeResi,4.05,,
battery,grid,SK,SK,capaStInResi,7.12,capaStOutResi,7.12,capaStSizeResi,21.35,,
battery,grid,TR,TR,capaStInResi,214.78,capaStOutResi,214.78,capaStSizeResi,644.34,,
battery,grid,UK,UK,capaStInResi,39.29,capaStOutResi,39.29,capaStSizeResi,117.86,,
methanation,,AT,AT,capaConvResi,0.53,,,,,,
methanation,,NONEU_Balkan,NONEU_Balkan,capaConvResi,1.87,,,,,,
methanation,,EE,EE,capaConvResi,0,,,,,,
methanation,,LT,LT,capaConvResi,0,,,,,,
methanation,,LV,LV,capaConvResi,0,,,,,,
methanation,,NL,NL,capaConvResi,4.52,,,,,,
methanation,,BE,BE,capaConvResi,1.67,,,,,,
methanation,,CZ,CZ,capaConvResi,0,,,,,,
methanation,,HU,HU,capaConvResi,1.41,,,,,,
methanation,,SK,SK,capaConvResi,4.38,,,,,,
methanation,,HR,HR,capaConvResi,0,,,,,,
methanation,,SI,SI,capaConvResi,0,,,,,,
methanation,,BG,BG,capaConvResi,0,,,,,,
methanation,,RO,RO,capaConvResi,3.92,,,,,,
methanation,,TR,TR,capaConvResi,0,,,,,,
methanation,,FR,FR,capaConvResi,3.04,,,,,,
methanation,,LU,LU,capaConvResi,0.1,,,,,,
methanation,,IE,IE,capaConvResi,6.2,,,,,,
methanation,,UK,UK,capaConvResi,0.52,,,,,,
methanation,,GR,GR,capaConvResi,0,,,,,,
methanation,,PT,PT,capaConvResi,0.37,,,,,,
methanation,,ES,ES,capaConvResi,14.67,,,,,,
methanation,,IT,IT,capaConvResi,7.86,,,,,,
methanation,,PL,PL,capaConvResi,0,,,,,,
methanation,,NO,NO,capaConvResi,0.24,,,,,,
methanation,,FI,FI,capaConvResi,0.34,,,,,,
methanation,,SE,SE,capaConvResi,0.59,,,,,,
methanation,,DK,DK,capaConvResi,0.15,,,,,,
methanation,,CH,CH,capaConvResi,0,,,,,,
electrolysis,,AT,AT,capaConvResi,5.05,,,,,,
electrolysis,,NONEU_Balkan,NONEU_Balkan,capaConvResi,38.46,,,,,,
electrolysis,,EE,EE,capaConvResi,0.12,,,,,,
electrolysis,,LT,LT,capaConvResi,0.12,,,,,,
electrolysis,,LV,LV,capaConvResi,2.61,,,,,,
electrolysis,,NL,NL,capaConvResi,0.01,,,,,,
electrolysis,,BE,BE,capaConvResi,3.35,,,,,,
electrolysis,,CZ,CZ,capaConvResi,1.18,,,,,,
electrolysis,,HU,HU,capaConvResi,0.59,,,,,,
electrolysis,,SK,SK,capaConvResi,0.01,,,,,,
electrolysis,,HR,HR,capaConvResi,1.08,,,,,,
electrolysis,,SI,SI,capaConvResi,0.91,,,,,,
electrolysis,,BG,BG,capaConvResi,0.74,,,,,,
electrolysis,,RO,RO,capaConvResi,35.54,,,,,,
electrolysis,,TR,TR,capaConvResi,30.08,,,,,,
electrolysis,,FR,FR,capaConvResi,44.39,,,,,,
electrolysis,,LU,LU,capaConvResi,0.23,,,,,,
electrolysis,,IE,IE,capaConvResi,7.03,,,,,,
electrolysis,,UK,UK,capaConvResi,54.77,,,,,,
electrolysis,,GR,GR,capaConvResi,2.86,,,,,,
electrolysis,,PT,PT,capaConvResi,5.31,,,,,,
electrolysis,,ES,ES,capaConvResi,38.06,,,,,,
electrolysis,,IT,IT,capaConvResi,19.88,,,,,,
electrolysis,,PL,PL,capaConvResi,15.24,,,,,,
electrolysis,,NO,NO,capaConvResi,15.64,,,,,,
electrolysis,,FI,FI,capaConvResi,0.62,,,,,,
electrolysis,,SE,SE,capaConvResi,5.07,,,,,,
electrolysis,,DK,DK,capaConvResi,6.68,,,,,,
electrolysis,,CH,CH,capaConvResi,0.66,,,,,,
gasPlant,,AT,AT,capaConvResi,4.79,,,,,,
gasPlant,,NONEU_Balkan,NONEU_Balkan,capaConvResi,0.85,,,,,,
gasPlant,,EE,EE,capaConvResi,0,,,,,,
gasPlant,,LT,LT,capaConvResi,0.46,,,,,,
gasPlant,,LV,LV,capaConvResi,1.57,,,,,,
gasPlant,,NL,NL,capaConvResi,13.8,,,,,,
gasPlant,,BE,BE,capaConvResi,3.87,,,,,,
gasPlant,,CZ,CZ,capaConvResi,0.36,,,,,,
gasPlant,,HU,HU,capaConvResi,3.43,,,,,,
gasPlant,,SK,SK,capaConvResi,0.81,,,,,,
gasPlant,,HR,HR,capaConvResi,0.35,,,,,,
gasPlant,,SI,SI,capaConvResi,0.12,,,,,,
gasPlant,,BG,BG,capaConvResi,0.6,,,,,,
gasPlant,,RO,RO,capaConvResi,2.2,,,,,,
gasPlant,,TR,TR,capaConvResi,32.3,,,,,,
gasPlant,,FR,FR,capaConvResi,6.71,,,,,,
gasPlant,,LU,LU,capaConvResi,0.71,,,,,,
gasPlant,,IE,IE,capaConvResi,4.02,,,,,,
gasPlant,,UK,UK,capaConvResi,24.54,,,,,,
gasPlant,,GR,GR,capaConvResi,6.98,,,,,,
gasPlant,,PT,PT,capaConvResi,4.45,,,,,,
gasPlant,,ES,ES,capaConvResi,44.83,,,,,,
gasPlant,,IT,IT,capaConvResi,51.28,,,,,,
gasPlant,,PL,PL,capaConvResi,8.28,,,,,,
gasPlant,,NO,NO,capaConvResi,1.75,,,,,,
gasPlant,,FI,FI,capaConvResi,0.27,,,,,,
gasPlant,,SE,SE,capaConvResi,1.02,,,,,,
gasPlant,,DK,DK,capaConvResi,0.23,,,,,,
gasPlant,,CH,CH,capaConvResi,0,,,,,,
ocgtHydrogen,,AT,AT,capaConvResi,6.26,,,,,,
ocgtHydrogen,,NONEU_Balkan,NONEU_Balkan,capaConvResi,0.01,,,,,,
ocgtHydrogen,,EE,EE,capaConvResi,0.02,,,,,,
ocgtHydrogen,,LT,LT,capaConvResi,0.02,,,,,,
ocgtHydrogen,,LV,LV,capaConvResi,3.42,,,,,,
ocgtHydrogen,,NL,NL,capaConvResi,42.96,,,,,,
ocgtHydrogen,,BE,BE,capaConvResi,0.25,,,,,,
ocgtHydrogen,,CZ,CZ,capaConvResi,14.01,,,,,,
ocgtHydrogen,,HU,HU,capaConvResi,7,,,,,,
ocgtHydrogen,,SK,SK,capaConvResi,11.53,,,,,,
ocgtHydrogen,,HR,HR,capaConvResi,0.04,,,,,,
ocgtHydrogen,,SI,SI,capaConvResi,0.03,,,,,,
ocgtHydrogen,,BG,BG,capaConvResi,0.04,,,,,,
ocgtHydrogen,,RO,RO,capaConvResi,0.02,,,,,,
ocgtHydrogen,,TR,TR,capaConvResi,35.99,,,,,,
ocgtHydrogen,,FR,FR,capaConvResi,61.69,,,,,,
ocgtHydrogen,,LU,LU,capaConvResi,0.01,,,,,,
ocgtHydrogen,,IE,IE,capaConvResi,0.01,,,,,,
ocgtHydrogen,,UK,UK,capaConvResi,49.08,,,,,,
ocgtHydrogen,,GR,GR,capaConvResi,0.83,,,,,,
ocgtHydrogen,,PT,PT,capaConvResi,0.01,,,,,,
ocgtHydrogen,,ES,ES,capaConvResi,0.01,,,,,,
ocgtHydrogen,,IT,IT,capaConvResi,3.75,,,,,,
ocgtHydrogen,,PL,PL,capaConvResi,37.39,,,,,,
ocgtHydrogen,,NO,NO,capaConvResi,0.11,,,,,,
ocgtHydrogen,,FI,FI,capaConvResi,0,,,,,,
ocgtHydrogen,,SE,SE,capaConvResi,0.19,,,,,,
ocgtHydrogen,,DK,DK,capaConvResi,5.27,,,,,,
ocgtHydrogen,,CH,CH,capaConvResi,0.04,,,,,,
biomassPlant,,AT,AT,capaConvResi,0.94,,,,,,
biomassPlant,,NONEU_Balkan,NONEU_Balkan,capaConvResi,0.04,,,,,,
biomassPlant,,EE,EE,capaConvResi,0.22,,,,,,
biomassPlant,,LT,LT,capaConvResi,0.18,,,,,,
biomassPlant,,LV,LV,capaConvResi,0.31,,,,,,
biomassPlant,,NL,NL,capaConvResi,0,,,,,,
biomassPlant,,BE,BE,capaConvResi,1.75,,,,,,
biomassPlant,,CZ,CZ,capaConvResi,1.27,,,,,,
biomassPlant,,HU,HU,capaConvResi,0.7,,,,,,
biomassPlant,,SK,SK,capaConvResi,0.48,,,,,,
biomassPlant,,HR,HR,capaConvResi,0.25,,,,,,
biomassPlant,,SI,SI,capaConvResi,0.13,,,,,,
biomassPlant,,BG,BG,capaConvResi,0.6,,,,,,
biomassPlant,,RO,RO,capaConvResi,0.38,,,,,,
biomassPlant,,TR,TR,capaConvResi,11.9,,,,,,
biomassPlant,,FR,FR,capaConvResi,1.96,,,,,,
biomassPlant,,LU,LU,capaConvResi,0.03,,,,,,
biomassPlant,,IE,IE,capaConvResi,0.19,,,,,,
biomassPlant,,UK,UK,capaConvResi,6.05,,,,,,
biomassPlant,,GR,GR,capaConvResi,0.37,,,,,,
biomassPlant,,PT,PT,capaConvResi,0,,,,,,
biomassPlant,,ES,ES,capaConvResi,1.92,,,,,,
biomassPlant,,IT,IT,capaConvResi,1.49,,,,,,
biomassPlant,,PL,PL,capaConvResi,1.65,,,,,,
biomassPlant,,NO,NO,capaConvResi,0,,,,,,
biomassPlant,,FI,FI,capaConvResi,1.87,,,,,,
biomassPlant,,SE,SE,capaConvResi,3.44,,,,,,
biomassPlant,,DK,DK,capaConvResi,4.36,,,,,,
biomassPlant,,CH,CH,capaConvResi,0.72,,,,,,
caes,,AT,AT,capaStOutResi,14.89,,,,,,
caes,,NONEU_Balkan,NONEU_Balkan,capaStOutResi,21.08,,,,,,
caes,,EE,EE,capaStOutResi,10.62,,,,,,
caes,,LT,LT,capaStOutResi,16.8,,,,,,
caes,,LV,LV,capaStOutResi,1.91,,,,,,
caes,,NL,NL,capaStOutResi,6.48,,,,,,
caes,,BE,BE,capaStOutResi,0.73,,,,,,
caes,,CZ,CZ,capaStOutResi,0.59,,,,,,
caes,,HU,HU,capaStOutResi,0.93,,,,,,
caes,,SK,SK,capaStOutResi,0.26,,,,,,
caes,,HR,HR,capaStOutResi,0.58,,,,,,
caes,,SI,SI,capaStOutResi,0.68,,,,,,
caes,,BG,BG,capaStOutResi,0.41,,,,,,
caes,,RO,RO,capaStOutResi,1.37,,,,,,
caes,,TR,TR,capaStOutResi,165.61,,,,,,
caes,,FR,FR,capaStOutResi,190.32,,,,,,
caes,,LU,LU,capaStOutResi,0.63,,,,,,
caes,,IE,IE,capaStOutResi,29.52,,,,,,
caes,,UK,UK,capaStOutResi,102.36,,,,,,
caes,,GR,GR,capaStOutResi,27.92,,,,,,
caes,,PT,PT,capaStOutResi,22.89,,,,,,
caes,,ES,ES,capaStOutResi,71.45,,,,,,
caes,,IT,IT,capaStOutResi,0.76,,,,,,
caes,,PL,PL,capaStOutResi,57.35,,,,,,
caes,,NO,NO,capaStOutResi,0.49,,,,,,
caes,,FI,FI,capaStOutResi,30.17,,,,,,
caes,,SE,SE,capaStOutResi,30.73,,,,,,
caes,,DK,DK,capaStOutResi,11.25,,,,,,
caes,,CH,CH,capaStOutResi,3.44,,,,,,
caes,,AT,AT,capaStSizeResi,15.52,,,,,,
caes,,NONEU_Balkan,NONEU_Balkan,capaStSizeResi,21.61,,,,,,
caes,,EE,EE,capaStSizeResi,28.25,,,,,,
caes,,LT,LT,capaStSizeResi,68.66,,,,,,
caes,,LV,LV,capaStSizeResi,3.29,,,,,,
caes,,NL,NL,capaStSizeResi,6.83,,,,,,
caes,,BE,BE,capaStSizeResi,0.75,,,,,,
caes,,CZ,CZ,capaStSizeResi,0.65,,,,,,
caes,,HU,HU,capaStSizeResi,1.23,,,,,,
caes,,SK,SK,capaStSizeResi,0.43,,,,,,
caes,,HR,HR,capaStSizeResi,0.98,,,,,,
caes,,SI,SI,capaStSizeResi,0.85,,,,,,
caes,,BG,BG,capaStSizeResi,0.66,,,,,,
caes,,RO,RO,capaStSizeResi,1.69,,,,,,
caes,,TR,TR,capaStSizeResi,328.05,,,,,,
caes,,FR,FR,capaStSizeResi,489.89,,,,,,
caes,,LU,LU,capaStSizeResi,0.92,,,,,,
caes,,IE,IE,capaStSizeResi,204.23,,,,,,
caes,,UK,UK,capaStSizeResi,474.05,,,,,,
caes,,GR,GR,capaStSizeResi,28.45,,,,,,
caes,,PT,PT,capaStSizeResi,37.21,,,,,,
caes,,ES,ES,capaStSizeResi,103.92,,,,,,
caes,,IT,IT,capaStSizeResi,0.76,,,,,,
caes,,PL,PL,capaStSizeResi,97.13,,,,,,
caes,,NO,NO,capaStSizeResi,0.5,,,,,,
caes,,FI,FI,capaStSizeResi,204.82,,,,,,
caes,,SE,SE,capaStSizeResi,101.9,,,,,,
caes,,DK,DK,capaStSizeResi,45.48,,,,,,
caes,,CH,CH,capaStSizeResi,3.45,,,,,,
caes,,AT,AT,capaStInResi,1.55,,,,,,
caes,,NONEU_Balkan,NONEU_Balkan,capaStInResi,2.16,,,,,,
caes,,EE,EE,capaStInResi,2.83,,,,,,
caes,,LT,LT,capaStInResi,6.87,,,,,,
caes,,LV,LV,capaStInResi,0.33,,,,,,
caes,,NL,NL,capaStInResi,0.68,,,,,,
caes,,BE,BE,capaStInResi,0.07,,,,,,
caes,,CZ,CZ,capaStInResi,0.07,,,,,,
caes,,HU,HU,capaStInResi,0.12,,,,,,
caes,,SK,SK,capaStInResi,0.04,,,,,,
caes,,HR,HR,capaStInResi,0.1,,,,,,
caes,,SI,SI,capaStInResi,0.08,,,,,,
caes,,BG,BG,capaStInResi,0.07,,,,,,
caes,,RO,RO,capaStInResi,0.17,,,,,,
caes,,TR,TR,capaStInResi,32.8,,,,,,
caes,,FR,FR,capaStInResi,48.99,,,,,,
caes,,LU,LU,capaStInResi,0.09,,,,,,
caes,,IE,IE,capaStInResi,20.42,,,,,,
caes,,UK,UK,capaStInResi,47.4,,,,,,
caes,,GR,GR,capaStInResi,2.84,,,,,,
caes,,PT,PT,capaStInResi,3.72,,,,,,
caes,,ES,ES,capaStInResi,10.39,,,,,,
caes,,IT,IT,capaStInResi,0.08,,,,,,
caes,,PL,PL,capaStInResi,9.71,,,,,,
caes,,NO,NO,capaStInResi,0.05,,,,,,
caes,,FI,FI,capaStInResi,20.48,,,,,,
caes,,SE,SE,capaStInResi,10.19,,,,,,
caes,,DK,DK,capaStInResi,4.55,,,,,,
caes,,CH,CH,capaStInResi,0.34,,,,,,
fermenter,,AT,AT,capaConvResi,6.74,,,,,,
fermenter,,NONEU_Balkan,NONEU_Balkan,capaConvResi,0.06,,,,,,
fermenter,,EE,EE,capaConvResi,0.165,,,,,,
fermenter,,LT,LT,capaConvResi,1.03,,,,,,
fermenter,,LV,LV,capaConvResi,0.19,,,,,,
fermenter,,NL,NL,capaConvResi,5.35,,,,,,
fermenter,,BE,BE,capaConvResi,5.27,,,,,,
fermenter,,CZ,CZ,capaConvResi,3.41,,,,,,
fermenter,,HU,HU,capaConvResi,2.29,,,,,,
fermenter,,SK,SK,capaConvResi,5.86,,,,,,
fermenter,,HR,HR,capaConvResi,1.17,,,,,,
fermenter,,SI,SI,capaConvResi,3.22,,,,,,
fermenter,,BG,BG,capaConvResi,3.58,,,,,,
fermenter,,RO,RO,capaConvResi,5.31,,,,,,
fermenter,,TR,TR,capaConvResi,5.983,,,,,,
fermenter,,FR,FR,capaConvResi,7.62,,,,,,
fermenter,,LU,LU,capaConvResi,0.08,,,,,,
fermenter,,IE,IE,capaConvResi,4.89,,,,,,
fermenter,,UK,UK,capaConvResi,4.66,,,,,,
fermenter,,GR,GR,capaConvResi,0.45,,,,,,
fermenter,,PT,PT,capaConvResi,2.63,,,,,,
fermenter,,ES,ES,capaConvResi,5.04,,,,,,
fermenter,,IT,IT,capaConvResi,10.53,,,,,,
fermenter,,PL,PL,capaConvResi,3.339,,,,,,
fermenter,,NO,NO,capaConvResi,7.52,,,,,,
fermenter,,FI,FI,capaConvResi,1.04,,,,,,
fermenter,,SE,SE,capaConvResi,1.53,,,,,,
fermenter,,DK,DK,capaConvResi,2.75,,,,,,
fermenter,,CH,CH,capaConvResi,6.47,,,,,,
ror,,AT,AT,capaConvResi,6.01,,,,,,
ror,,NONEU_Balkan,NONEU_Balkan,capaConvResi,3.62,,,,,,
ror,,LT,LT,capaConvResi,0.13,,,,,,
ror,,LV,LV,capaConvResi,1.54,,,,,,
ror,,NL,NL,capaConvResi,0.04,,,,,,
ror,,BE,BE,capaConvResi,0.09,,,,,,
ror,,CZ,CZ,capaConvResi,0.22,,,,,,
ror,,HU,HU,capaConvResi,0.05,,,,,,
ror,,SK,SK,capaConvResi,1.55,,,,,,
ror,,HR,HR,capaConvResi,1.84,,,,,,
ror,,SI,SI,capaConvResi,1.02,,,,,,
ror,,BG,BG,capaConvResi,2.27,,,,,,
ror,,RO,RO,capaConvResi,6.25,,,,,,
ror,,TR,TR,capaConvResi,6.8,,,,,,
ror,,FR,FR,capaConvResi,10.33,,,,,,
ror,,LU,LU,capaConvResi,0.04,,,,,,
ror,,IE,IE,capaConvResi,0.14,,,,,,
ror,,UK,UK,capaConvResi,0.94,,,,,,
ror,,GR,GR,capaConvResi,0.23,,,,,,
ror,,PT,PT,capaConvResi,6.55,,,,,,
ror,,ES,ES,capaConvResi,13.63,,,,,,
ror,,IT,IT,capaConvResi,7.37,,,,,,
ror,,PL,PL,capaConvResi,0.85,,,,,,
ror,,NO,NO,capaConvResi,6.3,,,,,,
ror,,FI,FI,capaConvResi,2.6,,,,,,
ror,,SE,SE,capaConvResi,11.22,,,,,,
ror,,CH,CH,capaConvResi,3.85,,,,,,
wind_offshore,offshore_a,AT,AT,capaConvResi,0,,,,,,
wind_offshore,offshore_a,BE,BE,capaConvResi,0,,,,,,
wind_offshore,offshore_a,BG,BG,capaConvResi,0,,,,,,
wind_offshore,offshore_a,CH,CH,capaConvResi,0,,,,,,
wind_offshore,offshore_a,CZ,CZ,capaConvResi,0,,,,,,
wind_offshore,offshore_a,DK,DK,capaConvResi,0.02,,,,,,
wind_offshore,offshore_a,EE,EE,capaConvResi,1.56,,,,,,
wind_offshore,offshore_a,ES,ES,capaConvResi,0,,,,,,
wind_offshore,offshore_a,FI,FI,capaConvResi,0,,,,,,
wind_offshore,offshore_a,FR,FR,capaConvResi,44.57,,,,,,
wind_offshore,offshore_a,GR,GR,capaConvResi,0,,,,,,
wind_offshore,offshore_a,HR,HR,capaConvResi,0,,,,,,
wind_offshore,offshore_a,HU,HU,capaConvResi,0,,,,,,
wind_offshore,offshore_a,IE,IE,capaConvResi,17.4,,,,,,
wind_offshore,offshore_a,IT,IT,capaConvResi,0,,,,,,
wind_offshore,offshore_a,LT,LT,capaConvResi,0,,,,,,
wind_offshore,offshore_a,LU,LU,capaConvResi,0,,,,,,
wind_offshore,offshore_a,LV,LV,capaConvResi,0,,,,,,
wind_offshore,offshore_a,NL,NL,capaConvResi,10.24,,,,,,
wind_offshore,offshore_a,NO,NO,capaConvResi,0,,,,,,
wind_offshore,offshore_a,NONEU_Balkan,NONEU_Balkan,capaConvResi,0,,,,,,
wind_offshore,offshore_a,PL,PL,capaConvResi,0,,,,,,
wind_offshore,offshore_a,PT,PT,capaConvResi,0,,,,,,
wind_offshore,offshore_a,RO,RO,capaConvResi,0,,,,,,
wind_offshore,offshore_a,SE,SE,capaConvResi,0,,,,,,
wind_offshore,offshore_a,SI,SI,capaConvResi,0,,,,,,
wind_offshore,offshore_a,SK,SK,capaConvResi,0,,,,,,
wind_offshore,offshore_a,TR,TR,capaConvResi,0,,,,,,
wind_offshore,offshore_a,UK,UK,capaConvResi,33,,,,,,
rooftop,rooftop_a,AT,AT,capaConvResi,0,,,,,,
rooftop,rooftop_a,BE,BE,capaConvResi,0,,,,,,
rooftop,rooftop_a,BG,BG,capaConvResi,0,,,,,,
rooftop,rooftop_a,CH,CH,capaConvResi,0,,,,,,
rooftop,rooftop_a,CZ,CZ,capaConvResi,0,,,,,,
rooftop,rooftop_a,DK,DK,capaConvResi,0,,,,,,
rooftop,rooftop_a,EE,EE,capaConvResi,0,,,,,,
rooftop,rooftop_a,ES,ES,capaConvResi,0,,,,,,
rooftop,rooftop_a,FI,FI,capaConvResi,0,,,,,,
