region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter,value
HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,2
HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.3
HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,1.64
HU,HU,AT,AT,electricity,electricity_central,capaExcResiDir,0.8
HU,HU,HR,HR,electricity,electricity_central,capaExcResiDir,2
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.6
HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,1.617
HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,2.4
HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,2.8
IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,1.75
IT,IT,AT,AT,electricity,electricity_central,capaExcResiDir,0.535
IT,IT,CH,CH,electricity,electricity_central,capaExcResiDir,1.91
IT,IT,ES,ES,electricity,electricity_central,capaExcResiDir,0
IT,IT,FR,FR,electricity,electricity_central,capaExcResiDir,4.31
IT,IT,GR,GR,electricity,electricity_central,capaExcResiDir,0.5
IT,IT,HR,HR,electricity,electricity_central,capaExcResiDir,0
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.8
IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,0.68
LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,1.2
LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,1
LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,0.7
LU,LU,BE,BE,electricity,electricity_central,capaExcResiDir,0.18
LU,LU,FR,FR,electricity,electricity_central,capaExcResiDir,0
LV,LV,EE,EE,electricity,electricity_central,capaExcResiDir,1.5
LV,LV,LT,LT,electricity,electricity_central,capaExcResiDir,1.5
LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0
NL,NL,BE,BE,electricity,electricity_central,capaExcResiDir,2.9
NL,NL,DK,DK,electricity,electricity_central,capaExcResiDir,0.7
NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,0.7
NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,1
NO,NO,BE,BE,electricity,electricity_central,capaExcResiDir,0
NO,NO,DK,DK,electricity,electricity_central,capaExcResiDir,1.64
NO,NO,FI,FI,electricity,electricity_central,capaExcResiDir,0
NO,NO,NL,NL,electricity,electricity_central,capaExcResiDir,0.7
NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,3.695
NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,0
NONEU_Balkan,NONEU_Balkan,BG,BG,electricity,electricity_central,capaExcResiDir,1.144
NONEU_Balkan,NONEU_Balkan,GR,GR,electricity,electricity_central,capaExcResiDir,1.1
NONEU_Balkan,NONEU_Balkan,HR,HR,electricity,electricity_central,capaExcResiDir,1.35
NONEU_Balkan,NONEU_Balkan,HU,HU,electricity,electricity_central,capaExcResiDir,0.6
NONEU_Balkan,NONEU_Balkan,IT,IT,electricity,electricity_central,capaExcResiDir,0.8
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,0.8
PL,PL,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.8
PL,PL,DK,DK,electricity,electricity_central,capaExcResiDir,0
PL,PL,LT,LT,electricity,electricity_central,capaExcResiDir,1
PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,0.6
PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,0.99
PT,PT,ES,ES,electricity,electricity_central,capaExcResiDir,4.5
RO,RO,BG,BG,electricity,electricity_central,capaExcResiDir,0.3
RO,RO,HU,HU,electricity,electricity_central,capaExcResiDir,1.435
RO,RO,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1
RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,0
SE,SE,DK,DK,electricity,electricity_central,capaExcResiDir,1.98
SE,SE,EE,EE,electricity,electricity_central,capaExcResiDir,0
SE,SE,FI,FI,electricity,electricity_central,capaExcResiDir,3.2
SE,SE,LT,LT,electricity,electricity_central,capaExcResiDir,0.7
SE,SE,LV,LV,electricity,electricity_central,capaExcResiDir,0
SE,SE,NO,NO,electricity,electricity_central,capaExcResiDir,3.995
SE,SE,PL,PL,electricity,electricity_central,capaExcResiDir,0.6
SI,SI,AT,AT,electricity,electricity_central,capaExcResiDir,1.04
SI,SI,HR,HR,electricity,electricity_central,capaExcResiDir,1.5
SI,SI,HU,HU,electricity,electricity_central,capaExcResiDir,2.4
SI,SI,IT,IT,electricity,electricity_central,capaExcResiDir,0.73
SK,SK,AT,AT,electricity,electricity_central,capaExcResiDir,0
SK,SK,CZ,CZ,electricity,electricity_central,capaExcResiDir,1.1
SK,SK,HU,HU,electricity,electricity_central,capaExcResiDir,3.3
SK,SK,PL,PL,electricity,electricity_central,capaExcResiDir,0.99
TR,TR,BG,BG,electricity,electricity_central,capaExcResiDir,0.3
TR,TR,GR,GR,electricity,electricity_central,capaExcResiDir,0.58
TR,TR,RO,RO,electricity,electricity_central,capaExcResiDir,0
UK,UK,BE,BE,electricity,electricity_central,capaExcResiDir,1
UK,UK,DK,DK,electricity,electricity_central,capaExcResiDir,0
UK,UK,ES,ES,electricity,electricity_central,capaExcResiDir,0
UK,UK,FR,FR,electricity,electricity_central,capaExcResiDir,2
UK,UK,IE,IE,electricity,electricity_central,capaExcResiDir,1.7
UK,UK,NL,NL,electricity,electricity_central,capaExcResiDir,1
UK,UK,NO,NO,electricity,electricity_central,capaExcResiDir,0
